Rank,Name,Networth,Networth in Billions,Age,Country,Source of wealth,Industry
1,Bernard Arnault & family,$211 ,"$211,000,000,000 ",74,France,LVMH,Fashion & Retail
2,Elon Musk,$180 ,"$180,000,000,000 ",51,United States,"Tesla, SpaceX",Automotive
3,Jeff Bezos,$114 ,"$114,000,000,000 ",59,United States,Amazon,Technology
4,Larry Ellison,$107 ,"$107,000,000,000 ",78,United States,Oracle,Technology
5,Warren Buffett,$106 ,"$106,000,000,000 ",92,United States,Berkshire Hathaway,Finance & Investments
6,Bill Gates,$104 ,"$104,000,000,000 ",67,United States,Microsoft,Technology
7,Michael Bloomberg,$94.50 ,"$94,500,000,000 ",81,United States,Bloomberg LP,Media & Entertainment
8,Carlos Slim Helu & family,$93 ,"$93,000,000,000 ",83,Mexico,Telecom,Telecom
9,Mukesh Ambani,$83.40 ,"$83,400,000,000 ",65,India,Diversified,Diversified
10,Steve Ballmer,$80.70 ,"$80,700,000,000 ",67,United States,Microsoft,Technology
11,Francoise Bettencourt Meyers & family,$80.50 ,"$80,500,000,000 ",69,France,L'Oréal,Fashion & Retail
12,Larry Page,$79.20 ,"$79,200,000,000 ",50,United States,Google,Technology
13,Amancio Ortega,$77.30 ,"$77,300,000,000 ",87,Spain,Zara,Fashion & Retail
14,Sergey Brin,$76 ,"$76,000,000,000 ",49,United States,Google,Technology
15,Zhong Shanshan,$68 ,"$68,000,000,000 ",68,China,"Beverages, pharmaceuticals",Food & Beverage
16,Mark Zuckerberg,$64.40 ,"$64,400,000,000 ",38,United States,Facebook,Technology
17,Charles Koch,$59 ,"$59,000,000,000 ",87,United States,Koch Industries,Diversified
17,Julia Koch & family,$59 ,"$59,000,000,000 ",60,United States,Koch Industries,Diversified
19,Jim Walton,$58.80 ,"$58,800,000,000 ",74,United States,Walmart,Fashion & Retail
20,Rob Walton,$57.60 ,"$57,600,000,000 ",78,United States,Walmart,Fashion & Retail
21,Alice Walton,$56.70 ,"$56,700,000,000 ",73,United States,Walmart,Fashion & Retail
22,David Thomson & family,$54.40 ,"$54,400,000,000 ",65,Canada,Media,Media & Entertainment
23,Michael Dell,$50.10 ,"$50,100,000,000 ",58,United States,Dell Technologies,Technology
24,Gautam Adani,$47.20 ,"$47,200,000,000 ",60,India,"Infrastructure, commodities",Diversified
25,Phil Knight & family,$45.10 ,"$45,100,000,000 ",85,United States,Nike,Fashion & Retail
26,Zhang Yiming,$45 ,"$45,000,000,000 ",39,China,TikTok,Technology
27,Dieter Schwarz,$42.90 ,"$42,900,000,000 ",83,Germany,Retail,Fashion & Retail
28,François Pinault & family,$40.10 ,"$40,100,000,000 ",86,France,Luxury goods,Fashion & Retail
29,Klaus-Michael Kuehne,$39.10 ,"$39,100,000,000 ",85,Germany,Shipping,Logistics
30,Giovanni Ferrero,$38.90 ,"$38,900,000,000 ",58,Italy,"Nutella, chocolates",Food & Beverage
31,Jacqueline Mars,$38.30 ,"$38,300,000,000 ",83,United States,"Candy, pet food",Food & Beverage
31,John Mars,$38.30 ,"$38,300,000,000 ",87,United States,"Candy, pet food",Food & Beverage
33,Li Ka-shing,$38 ,"$38,000,000,000 ",94,Hong Kong,Diversified,Diversified
34,Ma Huateng,$35.30 ,"$35,300,000,000 ",51,China,Internet media,Technology
35,Miriam Adelson & family,$35 ,"$35,000,000,000 ",77,United States,Casinos,Gambling & Casinos
35,Ken Griffin,$35 ,"$35,000,000,000 ",54,United States,Hedge funds,Finance & Investments
37,Mark Mateschitz,$34.70 ,"$34,700,000,000 ",30,Austria,Red Bull,Food & Beverage
38,Robin Zeng,$33.40 ,"$33,400,000,000 ",54,Hong Kong,Batteries,Automotive
39,Tadashi Yanai & family,$32.60 ,"$32,600,000,000 ",74,Japan,Fashion retail,Fashion & Retail
40,Len Blavatnik,$32.10 ,"$32,100,000,000 ",65,United States,"Music, chemicals",Diversified
